696279 Archaeology	67934 Arqueología	241652 Archäologie	84940 Archéologie	16729 Arqueologia	20030 علم_الآثار	5739 Arkeologia	6144 Αρχαιολογία	17045 Arheologie	5421 Arqueologia
1267828 Hymenoptera 	289930 Hymenoptera 	398444 Hautflügler 	5867859 Hymenoptera 	117218 Himenòpters 	664487 غشائيات_الأجنحة 	41009 Hymenoptera 	233920 Υμενόπτερα 	229698 Hymenoptera 	54044 Imenoptèr 
708424 Hinduism 	70151 Hinduismo 	262214 Hinduismus 	103088 Hindouisme 	18900 Hinduisme 	9838 هندوسية 	64184 Hinduismoa 	84553 Ινδουισμός 	93282 Hinduism 	20848 Indoisme 
720299 Indonesia 	67926 Indonesia 	242358 Indonesien 	83968 Indonésie 	14565 Indonèsia 	8778 إندونيسيا 	8401 Indonesia 	49135 Ινδονησία 	18176 Indonezia 	5829 Indonesia 
858692 Insects 	601162 Insecta 	249508 Insekten 	225403 Insecte 	21345 Insectes 	7657 حشرات 	6669 Intsektuak 	20524 Έντομα 	51222 Insecte 	54046 Insècte 
700895 Internet 	83426 Internet 	240464 Internet 	82486 Internet 	13173 Internet 	6972 إنترنت 	6369 Internet 	11523 Διαδίκτυο 	12210 Internet 	22407 Internet 
745438 Inventors 	82060 Inventores 	844333 Erfinder 	157945 Inventeur 	18957 Inventors 	7297 مخترعون 	5872 Asmatzaileak 	21162 Εφευρέτες 	22401 Inventatori 	13573 Inventor 
804312 Yugoslavia 	205190 Yugoslavia 	392111 Jugoslawien 	167088 Yougoslavie 	129456 Iugoslàvia 	36168 يوغوسلافيا 	46124 Jugoslavia 	14881 Γιουγκοσλαβία 	22875 Iugoslavia 	16942 Iogoslavia 
699429 Iran 	55871 Irán 	318945 Iran 	83966 Iran 	25643 Iran 	6774 إيران 	21595 Iran 	27342 Ιράν 	18152 Iran 	5830 Iran 
694989 Iraq 	4384146 Irak 	242359 Irak 	83967 Irak 	19727 Iraq 	164623 العراق 	7996 Irak 	14898 Ιράκ 	14369 Irak 	7958 Iraq 
702395 Islam 	49767 Islam 	237906 Islam 	82293 Islam 	33132 Islam 	5934 إسلام 	6814 Islama 	34424 Ισλάμ 	14147 Islam 	29749 Islam 
709157 Iceland 	67582 Islandia 	242360 Island 	84796 Islande 	18958 Islàndia 	479028 أيسلندا 	24556 Islandia 	6794 Ισλανδία 	12643 Islanda 	5832 Islàndia 
698501 Israel 	65827 Israel 	242361 Israel 	83965 Israël 	30002 Israel 	6506 إسرائيل 	6817 Israel 	7998 Ισραήλ 	16155 Israel 	11730 Israèl 
702708 Historians 	55861 Historiadores 	241079 Historiker 	87703 Historien 	13734 Historiadors 	6716 مؤرخون 	6293 Historialariak 	13622 Ιστορικοί 	24652 Istorici 	16712 Istorian 
946482 Architectural_history 	783409 Historia_de_la_arquitectura 	341510 Architekturgeschichte 	900033 Histoire_de_l'architecture 	642703 Història_de_l'arquitectura 	8489 تاريخ_عمارة 	343902 Arkitekturaren_historia 	74741 Ιστορία_αρχιτεκτονικής 	282884 Istoria_arhitecturii 	14414 Istòria_de_l'arquitectura 
706261 Italy 	62031 Italia 	242146 Italien 	86881 Italie 	13698 Itàlia 	6784 إيطاليا 	7632 Italia 	6167 Ιταλία 	13124 Italia 	4470 Itàlia 
693052 Jamaica 	67675 Jamaica 	242365 Jamaika 	157433 Jamaïque 	30547 Jamaica 	38985 جامايكا 	9804 Jamaika 	75660 Τζαμάικα 	52718 Jamaica 	26911 Jamaica 
691585 Japan 	60316 Japón 	239461 Japan 	83951 Japon 	13756 Japó 	177638 اليابان 	6821 Japonia 	21000 Ιαπωνία 	17112 Japonia 	9418 Japon 
696783 Jazz 	179237 Jazz 	334340 Jazz 	82501 Jazz 	51068 Jazz 	141711 موسيقى_الجاز 	64271 Jazz 	11202 Τζαζ_μουσική 	19702 Jazz 	10894 Jazz 
717055 Jerusalem 	349596 Jerusalén 	730995 Jerusalem 	307804 Jérusalem 	479097 Jerusalem 	122942 القدس 	70634 Jerusalem 	71085 Ιερουσαλήμ 	914818 Ierusalim 	29782 Jerusalèm 
713016 Djibouti 	100679 Yibuti 	242253 Dschibuti 	147826 Djibouti 	30782 Djibouti 	8134 جيبوتي 	24747 Djibuti 	75676 Τζιμπουτί 	18073 Djibouti 	37395 Jiboti 
723032 Jordan 	65810 Jordania 	242368 Jordanien 	84005 Jordanie 	32299 Jordània 	219217 الأردن 	21598 Jordania 	49112 Ιορδανία 	18153 Iordania 	5818 Jordania 
698307 Journalism 	55873 Periodismo 	304897 Journalismus 	130575 Journalisme 	20140 Periodisme 	24820 صحافة 	6180 Kazetaritza 	17076 Δημοσιογραφία 	49331 Jurnalism 	13835 Jornalisme 
969288 Journalists_by_nationality 	569888 Periodistas_por_país 	2841735 Journalist_nach_Staat 	548550 Journaliste_par_nationalité 	203181 Periodistes_per_origen 	478680 صحفيون_حسب_الجنسية 	140911 Kazetariak_herrialdearen_arabera 	64542 Δημοσιογράφοι_ανά_εθνικότητα 	753126 Jurnaliști_după_naționalitate 	51436 Jornalista_per_nacionalitat 
694051 Judaism 	51119 Judaísmo 	237805 Judentum 	116966 Judaïsme 	16804 Judaisme 	6819 يهودية 	6272 Judaismoa 	11943 Ιουδαϊσμός 	24649 Iudaism 	13558 Judaïsme 
948964 Judo 	157942 Judo 	865627 Judo 	114493 Judo 	40108 Judo 	396002 جودو 	111759 Judo 	105612 Τζούντο 	383428 Judo 	47831 Judo 
702869 Jupiter 	61780 Júpiter 	234256 Jupiter_(Planet) 	82703 Jupiter 	44397 Júpiter 	400293 المشتري 	9778 Jupiter 	176888 Δίας_(πλανήτης) 	80356 Jupiter 	47818 Jupitèr 
724603 Jurists 	79563 Juristas 	1668476 Jurist 	216456 Juriste 	88970 Juristes 	226590 حقوقيون 	7931 Legelariak 	46880 Νομικοί 	753097 Juriști 	10530 Jurista 
724610 Judges 	86950 Jueces 	235893 Richter 	486153 Magistrat 	256263 Jutges 	63709 قضاة 	36437 Epaileak 	321982 Δικαστικοί 	40194 Judecători 	10528 Jutge 
1050972 Jesus 	277955 Jesús_de_Nazaret 	727346 Jesus 	704810 Jésus_de_Nazareth 	615235 Jesús 	334389 يسوع 	386766 Jesus_Nazaretekoa 	173176 Ιησούς_Χριστός 	229924 Isus_din_Nazaret 	71567 Jèsus_Crist 
743242 Kenya 	78010 Kenia 	242376 Kenia 	127290 Kenya 	34759 Kenya 	9259 كينيا 	4278 Kenya 	65131 Κένυα 	18081 Kenya 	26942 Kenya 
900818 Kiribati 	100693 Kiribati 	242379 Kiribati 	128525 Kiribati 	35499 Kiribati 	103857 كيريباس 	4302 Kiribati 	74191 Κιριμπάτι 	107457 Kiribati 	9363 Kiribati 
42454000 Kosovo_(region) 	275453 Kosovo 	593907 Kosovo 	376223 Kosovo 	80049 Kosovo 	299779 كوسوفو 	49410 Kosovo 	91382 Κοσσυφοπέδιο 	421500 Kosovo 	31904 Kosova 
743165 Kuwait 	75622 Kuwait 	328197 Kuwait 	84002 Koweït 	35167 Kuwait 	259119 الكويت 	21610 Kuwait 	68216 Κουβέιτ 	18154 Kuweit 	35973 Kowait 
1341964 Lakes_of_Kazakhstan 	2294308 Lagos_de_Kazajistán 	1143454 See_in_Kasachstan 	483322 Lac_du_Kazakhstan 	1143492 Llacs_del_Kazakhstan 	1090992 بحيرات_كازاخستان 	385113 Kazakhstango_aintzirak 	289408 Λίμνες_του_Καζακστάν 	182932 Lacuri_din_Kazahstan 	65217 Lac_de_Cazacstan 
1042253 Lazio 	237740 Lacio 	2599889 Latium 	211822 Latium 	85641 Laci 	1596086 لاتسيو 	21109 Lazio 	102733 Λάτιο 	954616 Lazio 	39060 Laci 
920342 Lagomorphs 	196926 Lagomorpha 	1709749 Hasenartige 	323024 Lagomorphe 	90297 Lagomorfs 	715881 أرنبيات 	57036 Lagomorpha 	300946 Λαγόμορφα 	80391 Lagomorfe 	113089 Lagomòrf 
1411570 Lamiaceae 	110728 Lamiaceae 	2809078 Lamiaceae 	269606 Lamiaceae 	118517 Lamiàcies 	537175 شفوية 	67994 Lamiaceae 	134775 Χειλανθή 	123441 Lamiaceae 	32285 Lamiaceae 
1149501 Lamiales 	185749 Lamiales 	2809065 Lamiales 	158018 Lamiales 	90919 Lamials 	498842 شفويات 	60345 Lamiales 	135055 Λαμιώδη 	123248 Lamiales 	32286 Lamiales 
697286 Laos 	69563 Laos 	242422 Laos 	84001 Laos 	30545 Laos 	8606 لاوس 	21611 Laos 	68206 Λάος 	18177 Laos 	25828 Laos 
1140428 Gulls 	741986 Laridae 	2842336 Möwen 	882243 Laridae 	303943 Làrids 	1772690 نورسية 	313310 Laridae 	328969 Λαρίδες 	420374 Laridae 	34318 Laridae 
944295 Latin_language 	144322 Latín 	423251 Latein 	227743 Langue_latine 	13532 Llatí 	23365 لغة_لاتينية 	157347 Latina 	44232 Λατινική_γλώσσα 	29013 Limba_latină 	52706 Latin 
12871640 Lauraceae 	111148 Lauraceae 	2809017 Lauraceae 	209908 Lauraceae 	785829 Lauràcies 	1896190 غارية 	237511 Lauraceae 	154489 Δαφνοειδή 	294175 Lauraceae 	32280 Lauraceae 
37024592 Limousin 	435173 Lemosín 	1005893 Limousin 	172484 Limousin 	74756 Llemosí 	1868286 ليموزان 	105190 Limousin 	342877 Λιμουζέν 	236641 Limousin 	19763 Lemosin_(Occitània) 
2203894 Lepidoptera 	335156 Lepidoptera 	387909 Schmetterlinge 	6388907 Lepidoptera 	176286 Lepidòpters 	1743150 حرشفيات_الأجنحة 	126816 Lepidoptera 	119623 Λεπιδόπτερα 	234459 Lepidoptera 	59356 Lepidoptèr 
743259 Lesotho 	682603 Lesoto 	242430 Lesotho 	287530 Lesotho 	34448 Lesotho 	37013 ليسوتو 	4279 Lesotho 	66226 Λεσότο 	18082 Lesotho 	35717 Lesotho 
694645 Latvia 	68344 Letonia 	242431 Lettland 	125547 Lettonie 	13782 Letònia 	8562 لاتفيا 	24561 Letonia 	379857 Λετονία 	13130 Letonia 	5833 Letònia 
702318 Lebanon 	69665 Líbano 	242432 Libanon 	84000 Liban 	34384 Líban 	5258 لبنان 	18821 Libano 	68381 Λίβανος 	18156 Liban 	9799 Liban 
740339 Libya 	69904 Libia 	242434 Libyen 	87352 Libye 	29974 Líbia 	6530 ليبيا 	24751 Libia 	14912 Λιβύη 	18084 Libia 	7615 Libia 
743310 Liberia 	53504 Liberia 	242433 Liberia 	5311066 Liberia 	33403 Libèria 	8117 ليبيريا 	4280 Liberia 	8219 Λιβερία 	18083 Liberia 	9750 Libèria 
714280 Liechtenstein 	64785 Liechtenstein 	242435 Liechtenstein 	117093 Liechtenstein 	28534 Liechtenstein 	740506 ليختنشتاين 	94134 Liechtenstein 	278588 Λίχτενσταϊν 	16125 Liechtenstein 	5724 Liechtenstein 
1054547 Liguria 	726509 Liguria 	2599894 Ligurien 	371006 Ligurie 	409192 Ligúria 	1855546 ليغوريا 	21110 Liguria 	227636 Λιγουρία 	954618 Liguria 	5549 Ligúria 
1287250 Liliales 	252707 Liliales 	2809096 Liliales 	489020 Liliales 	115448 Lilials 	634121 زنبقيات 	142158 Liliales 	150794 Λειριώδη 	123239 Liliales 	21767 Liliales 
708213 Linguists 	51368 Lingüistas 	309674 Linguist 	110177 Linguiste 	12895 Lingüistes 	15625 لغويون 	4375 Hizkuntzalariak 	14882 Γλωσσολόγοι 	753312 Lingviști 	16855 Lingüista 
693798 Linguistics 	51160 Lingüística 	512772 Sprachwissenschaft 	81896 Linguistique 	14404 Lingüística 	226594 لغويات 	6166 Hizkuntzalaritza 	6166 Γλωσσολογία 	17498 Lingvistică 	3460 Lingüistica 
713771 Lipids 	51992 Lípidos 	485386 Lipid 	231476 Lipide 	14367 Lípids 	357552 دهنيات 	87501 Lipidoak 	117527 Λιπίδια 	199028 Lipide 	26144 Lipid 
2001110 Lisbon 	205469 Lisboa 	402727 Lissabon 	102570 Lisbonne 	65439 Lisboa 	1391577 لشبونة 	57578 Lisboa 	175428 Λισαβόνα 	1188196 Lisabona 	17468 Lisbona 
691070 Lists 	86417 Anexos 	251986 Liste 	105145 Liste 	57814 Llistes 	10673 قوائم 	9775 Zerrendak 	14315 Κατάλογοι 	15997 Liste 	6879 Lista 
694048 Religious_texts 	163474 Literatura_religiosa 	308556 Religiöse_Literatur 	577621 Littérature_et_religion 	675672 Llibres_religiosos 	105140 نصوص_دينية 	163412 Erlijio_liburuak 	8458 Ιερά_Κείμενα 	751793 Literatură_religioasă 	51378 Literatura_e_religion 
698359 Lithuania 	68345 Lituania 	242448 Litauen 	114517 Lituanie 	13798 Lituània 	1898771 ليتوانيا 	18822 Lituania 	33823 Λιθουανία 	16110 Lituania 	5714 Lituània 
713036 El_Salvador 	51496 El_Salvador 	242266 El_Salvador 	257798 Salvador 	31661 El_Salvador 	866984 السلفادور 	24645 El_Salvador 	19649 Ελ_Σαλβαδόρ 	76894 El_Salvador 	25830 Lo_Salvador 
693678 Logic 	72060 Lógica 	254811 Logik 	84571 Logique 	35170 Lògica 	23540 منطق 	54194 Logika 	14275 Λογική 	22402 Logică 	32450 Logica 
691633 Software 	49473 Software 	232824 Software 	82489 Logiciel 	12878 Programari 	10298 برمجيات 	7442 Softwarea 	7831 Λογισμικό 	12202 Software 	6561 Logicial 
1041676 Lombardy 	237720 Lombardía 	1869327 Lombardei 	154604 Lombardie 	74727 Llombardia 	601503 لومبارديا 	48467 Lombardia 	105517 Λομβαρδία 	604879 Lombardia 	5548 Lombardia 
716946 London 	157931 Londres 	242457 London 	86014 Londres 	99643 Londres 	16869 لندن 	53001 Londres 	71730 Λονδίνο 	21113 Londra 	11565 Londres 
1732034 Los_Angeles,_California 	466918 Los_Ángeles 	832346 Los_Angeles 	85798 Los_Angeles 	170815 Los_Angeles 	1571050 لوس_أنجلوس 	120946 Los_Angeles 	285067 Λος_Άντζελες 	417255 Los_Angeles,_California 	11330 Los_Angeles 
738844 Moon 	309363 Luna 	233542 Erdmond 	4376277 Lune 	44390 Lluna 	989487 القمر 	103969 Ilargia 	24040 Σελήνη 	178053 Luna 	70077 Luna 
33775486 Age_of_Enlightenment 	352479 Ilustración_(Edad_histórica) 	365558 Aufklärung 	839095 Lumières 	784361 Il·lustració 	360754 التنوير 	433214 Argien_Garaia 	38252 Διαφωτισμός 	96143 Iluminism 	62702 Luses 
827982 Lutheranism 	840460 Luteranismo 	1279883 Luthertum 	1536675 Luthéranisme 	391401 Luteranisme 	400662 لوثرية 	164211 Luteranismoa 	154839 Λουθηρανισμός 	194309 Luteranism 	52570 Luteranisme 
705800 Luxembourg 	68140 Luxemburgo 	242463 Luxemburg 	89280 Luxembourg 	21118 Luxemburg 	8561 لوكسمبورغ 	24564 Luxenburgo 	8220 Λουξεμβούργο 	13159 Luxemburg 	5834 Luxemborg 
743268 Madagascar 	67942 Madagascar 	242464 Madagaskar 	158592 Madagascar 	34158 Madagascar 	39217 مدغشقر 	24744 Madagaskar 	52326 Μαδαγασκάρη 	18086 Madagascar 	9424 Madagascar 
761569 Madrid 	105172 Madrid 	334854 Madrid 	218099 Madrid 	15496 Madrid 	68192 مدريد 	12345 Madril 	63994 Μαδρίτη 	22862 Madrid 	57127 Madrid 
5285156 Angiosperms 	204381 Magnoliophyta 	246420 Bedecktsamer 	83624 Angiosperme 	1013452 Magnoliòfits 	634098 كاسيات_البذور 	60347 Magnoliophyta 	134603 Αγγειόσπερμα 	295444 Magnoliophyta 	6153 Magnoliophyta 
901762 Mayotte 	1542724 Mayotte 	2118137 Mayotte 	372308 Mayotte 	584519 Mayotte 	1085354 مايوت 	144122 Mayotte 	89358 Μαγιότ 	52756 Mayotte 	31940 Maiòta 
17598535 Sexually_transmitted_diseases_and_infections 	600518 Enfermedades_de_transmisión_sexual 	277644 Sexuell_übertragbare_Erkrankung 	87794 Maladie_sexuellement_transmissible 	188541 Malalties_de_transmissió_sexual 	423375 أمراض_منقولة_عن_طريق_الجنس 	47686 Sexu-transmisiozko_gaixotasunak 	360374 Σεξουαλικώς_μεταδιδόμενα_νοσήματα 	41732 Boli_transmise_sexual 	48640 Malautiá_sexualament_transmissibla 
743269 Malawi 	2178031 Malaui 	242465 Malawi 	233336 Malawi 	35121 Malawi 	232070 ملاوي 	24754 Malawi 	73994 Μαλάουι 	18087 Malawi 	9751 Malawi 
740237 Mali 	64310 Malí 	242476 Mali 	121065 Mali 	35348 Mali 	11307 مالي 	4297 Mali 	67787 Μάλι 	18088 Mali 	9752 Mali 
707463 Malta 	67707 Malta 	242477 Malta 	133634 Malte 	13771 Malta 	8559 مالطا 	24567 Malta 	8221 Μάλτα 	11334 Malta 	5836 Malta 
1427429 Malvaceae 	105877 Malvaceae 	2808984 Malvaceae 	210062 Malvaceae 	91217 Malvàcies 	636278 خبازية 	68006 Malvaceae 	154902 Μαλαχοειδή 	123443 Malvaceae 	34280 Malvaceae 
1149093 Malvales 	256298 Malvales 	2808979 Malvales 	213695 Malvales 	91218 Malvals 	979171 خبازيات 	68007 Malvales 	147477 Μαλαχώδη 	123444 Malvales 	34279 Malvales 
736777 Malaysia 	68541 Malasia 	242466 Malaysia 	83999 Malaisie 	36403 Malàisia 	8145 ماليزيا 	21604 Malaysia 	56865 Μαλαισία 	18178 Malaezia 	26498 Malàisia 
890039 Mammals 	189748 Mammalia 	247158 Säugetiere 	92781 Mammifère 	20153 Mamífers 	20013 ثدييات 	8771 Ugaztunak 	8932 Θηλαστικά 	37692 Mamifere 	53088 Mamifèr 
805581 Models 	66940 Modelos 	2833791 Model 	251372 Mannequin 	181020 Models 	1437269 عارضو_أزياء 	47016 Modeloak 	41029 Φωτομοντέλα 	471448 Fotomodele 	50653 Manequin 
7810459 Machines 	324649 Máquinas 	960178 Maschine 	104860 Machine 	19796 Màquines 	222326 آلات 	100324 Makinak 	265346 Μηχανές 	753896 Mașini 	35678 Maquina 
751688 Seas 	467597 Mares 	237556 Meer 	828021 Mer 	16959 Mars 	6526 بحار 	7788 Itsasoak 	8208 Θάλασσες 	426250 Mări 	17292 Mar 
740337 Morocco 	66944 Marruecos 	242478 Marokko 	101323 Maroc 	13772 Marroc 	51150 المغرب 	6700 Maroko 	61075 Μαρόκο 	13128 Maroc 	9753 Marròc 
1962659 Marseille 	994722 Marsella 	1830260 Marseille 	104138 Marseille 	386794 Marsella 	1069483 مرسيليا 	72292 Marseilla 	319142 Μασσαλία 	1236007 Marsilia 	13067 Marselha 
740294 Mars 	148980 Marte 	234257 Mars_(Planet) 	2858221 Mars_(planète) 	44399 Mart 	401548 المريخ 	94311 Marte 	236347 Άρης 	29960 Marte 	23007 Mart_(planeta) 
901700 Martinique 	346363 Martinica 	557655 Martinique 	119641 Martinique 	571773 Martinica 	1855375 مارتينيك 	85495 Martinika 	89868 Μαρτινίκα 	52746 Martinica 	114126 Martinica 
888485 Marxism 	91224 Marxismo 	307977 Marxismus 	206684 Marxisme 	102648 Marxisme 	16732 ماركسية 	8659 Marxismoa 	14913 Μαρξισμός 	69626 Marxism 	11503 Marxisme 
690747 Mathematics 	800384 Matemáticas 	235235 Mathematik 	81542 Mathématiques 	13774 Matemàtiques 	7226 رياضيات 	5742 Matematika 	6096 Μαθηματικά 	12194 Matematică 	3456 Matematicas 
693661 Mathematicians 	53055 Matemáticos 	235801 Mathematiker 	83911 Mathématicien 	16488 Matemàtics 	6740 رياضياتيون 	3931 Matematikariak 	8222 Μαθηματικοί 	12198 Matematicieni 	11957 Matematician 
722279 Materials 	74562 Materiales 	274292 Material 	154211 Matériau 	14056 Materials 	33452 مواد 	8137 Materialak 	57086 Υλικά 	36042 Materiale 	19950 Material 
743270 Mauritius 	75623 Mauricio 	242487 Mauritius 	175405 Maurice 	36532 Maurici 	11997 موريشيوس 	24755 Maurizio 	70438 Μαυρίκιος 	18090 Mauritius 	9602 Maurici 
711401 Mauritania 	75400 Mauritania 	242485 Mauretanien 	125950 Mauritanie 	36942 Mauritània 	6528 موريتانيا 	4296 Mauritania 	54555 Μαυριτανία 	18089 Mauritania 	9754 Mauritània 
9630547 Merovingian_dynasty 	5155005 Dinastía_merovingia 	800929 Merowinger 	1191817 Mérovingien 	782113 Merovingis 	1874934 ميروفنجيون 	143349 Merovingiar_leinua 	77917 Οίκος_Μεροβίγγειων 	1045071 Dinastia_Merovingiană 	51635 Merovingian 
948833 Months 	208443 Meses 	274655 Monat 	7492455 Mois 	26391 Mesos 	16598 شهور 	157507 Hilabeteak 	26157 Μήνες 	51779 Luni 	34892 Mes 
743147 Mesopotamia 	109185 Mesopotamia 	332271 Mesopotamien 	163040 Mésopotamie 	763899 Mesopotàmia 	442937 حضارة_بلاد_الرافدين 	7994 Mesopotamia 	39440 Μεσοποταμία 	87078 Mesopotamia 	31984 Mesopotamia 
787658 Occupations 	77994 Ocupaciones 	243093 Beruf 	87726 Métier 	36534 Professions 	33583 مهن 	48758 Lanbideak 	14862 Επαγγέλματα 	758191 Ocupații 	9896 Mestièr 
1135134 Metabolism 	214309 Metabolismo 	286924 Stoffwechsel 	341790 Métabolisme 	52973 Metabolisme 	201673 استقلاب 	88869 Metabolismoa 	149827 Μεταβολισμός 	213897 Metabolism 	26074 Metabolisme 
724484 Heavy_metal 	275263 Heavy_metal 	502506 Metal 	1396599 Metal 	129105 Heavy_metal 	60477 ميتال 	33096 Heavy_metal_musika 	37361 Χέβι_μέταλ 	19487 Metal_(muzică) 	29127 Metal_(musica) 
693033 Mexico 	51473 México 	242491 Mexiko 	87451 Mexique 	16743 Mèxic 	241057 المكسيك 	8655 Mexiko 	33230 Μεξικό 	126827 Mexic 	9724 Mexic 
1930130 Microsoft_Windows 	263795 Microsoft_Windows 	495956 Windows 	393046 Microsoft_Windows 	20868 Microsoft_Windows 	359144 مايكروسوفت_ويندوز 	6186 Windows 	72093 Microsoft_Windows 	418894 Microsoft_Windows 	44749 Microsoft_Windows 
805855 Milan 	346585 Milán 	365010 Mailand 	113011 Milan 	436481 Milà 	744337 ميلانو 	61387 Milan 	74490 Μιλάνο 	211536 Milano 	16005 Milan 
905815 Activists 	174489 Activistas 	6659619 Aktivist 	2846488 Militant 	447555 Activistes 	598565 نشطاء 	144290 Aktibistak 	14349 Ακτιβιστές 	945885 Activiști 	50758 Militant 
708104 Minerals 	1132313 Minerales 	235022 Mineral 	209092 Minéral 	13040 Minerals 	33567 معادن 	18166 Mineralak 	10267 Ορυκτά 	222028 Minerale 	52247 Mineral 
691709 Egyptian_mythology 	49205 Mitología_egipcia 	245759 Ägyptische_Mythologie 	92916 Mythologie_égyptienne 	13776 Mitologia_egípcia 	8344 ميثولوجيا_مصرية 	9314 Egiptoko_mitologia 	15823 Αιγυπτιακή_μυθολογία 	1370201 Mitologie_egipteană 	51361 Mitologia_egipciana 
1054535 Molise 	726710 Molise 	2599898 Molise 	236920 Molise 	409203 Molise 	1864995 موليزي 	21113 Molise 	357449 Μολίζε 	954622 Molise 	5563 Molise 
906131 Molluscs 	206115 Mollusca 	438520 Weichtiere 	106625 Mollusque 	53978 Mol·luscs 	190824 رخويات 	139877 Moluskuak 	25377 Μαλάκια 	135668 Moluscă 	54057 Mollusc 
1238063 Monarchy 	252111 Monarquía 	681859 Monarchie 	87365 Monarchie 	157495 Monarquia 	104359 ملكية 	36531 Monarkia 	60996 Μοναρχία 	426574 Monarhie 	13102 Monarquia 
1652464 Monasteries 	51339 Monasterios 	245874 Kloster 	4535044 Monastère 	21147 Monestirs 	191434 أديرة 	33460 Monasterioak 	199916 Μοναστήρια 	40518 Mănăstiri 	29911 Monastèri 
1030891 Globalization 	762147 Globalización 	704656 Globalisierung 	81956 Mondialisation 	1000180 Globalització 	31562 عولمة 	333882 Globalizazioa 	263415 Παγκοσμιοποίηση 	28718 Globalizare 	51131 Mondializacion 
1626296 Currency 	52085 Monedas 	613775 Währung 	85361 Monnaie 	44588 Monedes 	22626 عملات 	6184 Diruak 	7825 Νομίσματα 	14149 Monedă 	6285 Moneda 
739246 Mongolia 	68841 Mongolia 	235503 Mongolei 	83997 Mongolie 	29040 Mongòlia 	36188 منغوليا 	9686 Mongolia 	60744 Μογγολία 	18197 Mongolia 	10027 Mongolia 
6991871 Mountains_by_continent 	1223343 Montañas_por_continente 	1754512 Berg_nach_Kontinent 	759094 Montagne_par_continent 	513232 Muntanyes_per_continent 	581929 جبال_حسب_القارة 	367672 Mendiak_kontinentearen_arabera 	287238 Βουνά_ανά_ήπειρο 	754248 Munți_după_continente 	48718 Montanha_per_continent 
727189 Montenegro 	389593 Montenegro 	468553 Montenegro 	264915 Monténégro 	59517 Montenegro 	594977 الجبل_الأسود 	16978 Montenegro 	36445 Μαυροβούνιο 	92092 Muntenegru 	18311 Montenegro 
4869336 Monuments_and_memorials 	54497 Monumentos 	243956 Denkmal 	87354 Monument 	31139 Monuments 	316965 آثار_ونصب_تذكارية 	5802 Monumentuak 	17273 Μνημεία 	23113 Monumente 	13313 Monument 
1753177 Moraceae 	121957 Moraceae 	587246 Maulbeergewächse 	206193 Moraceae 	110806 Moràcies 	1300106 توتية 	236818 Moraceae 	155592 Μορεοειδή 	472896 Moraceae 	34251 Moraceae 
732876 Moscow 	264472 Moscú 	614593 Moskau 	110212 Moscou 	239343 Moscou 	347153 موسكو 	87151 Mosku 	111409 Μόσχα 	40139 Moscova 	81951 Moscòu 
844306 Art_movements 	135528 Movimientos_artísticos 	242574 Kunststil 	129554 Mouvement_artistique 	35998 Moviments_artístics 	204840 حركات_فنية 	68355 Arte_mugimenduak 	10087 Καλλιτεχνικά_ρεύματα 	22565 Curente_artistice 	11193 Movement_artistic 
743271 Mozambique 	66617 Mozambique 	242512 Mosambik 	169558 Mozambique 	21766 Moçambic 	8118 موزمبيق 	24756 Mozambike 	76840 Μοζαμβίκη 	18091 Mozambic 	10243 Moçambic 
692446 Musicians 	53131 Músicos 	235523 Musiker 	83947 Musicien 	13848 Músics 	6719 موسيقيون 	35880 Musikariak 	14372 Μουσικοί 	19900 Muzicieni 	10046 Musician 
28945550 Mustelidae 	196176 Mustelidae 	2497559 Marder 	5237702 Mustelidae 	90460 Mustèlids 	278488 عرسيات 	65615 Mustelidae 	300927 Μουστελίδες 	77402 Mustelidae 	53086 Mustelid 
2680107 Museums_by_country 	746313 Museos_por_país 	1855376 Museum_nach_Staat 	422862 Musée_par_pays 	390192 Museus_per_país 	327954 متاحف_حسب_البلد 	144819 Museoak_herrialdearen_arabera 	192938 Μουσεία_ανά_χώρα 	754326 Muzee_după_țară 	52727 Musèu_per_país 
3978309 Myrtaceae 	186142 Myrtaceae 	2808967 Myrtaceae 	211714 Myrtaceae 	888095 Mirtàcies 	680464 آسيّة 	231210 Myrtaceae 	155449 Μυρτοειδή 	546580 Myrtaceae 	34253 Myrtaceae 
1344112 Myrtales 	265874 Myrtales 	2808964 Myrtales 	449687 Myrtales 	115449 Mirtals 	734168 آسيات 	231213 Myrtales 	135068 Μυρτώδη 	655589 Myrtales 	34254 Myrtales 
1039160 Media_by_country 	214061 Medios_de_comunicación_por_país 	1856752 Medien_nach_Staat 	4003638 Média_par_pays 	250636 Mitjans_de_comunicació_per_país 	177054 إعلام_حسب_البلد 	126916 Hedabideak_herrialdearen_arabera 	76520 Μέσα_Μαζικής_Ενημέρωσης_ανά_χώρα 	753968 Media_după_țară 	55895 Mèdias_per_país 
1000816 Fashion 	68097 Moda 	448458 Mode 	525281 Mode 	180951 Moda 	768064 موضة 	19841 Moda 	14918 Μόδα 	36044 Modă 	22303 Mòda 
1660043 Executed_people 	373444 Ejecutados 	6951580 Hingerichtete_Person 	350193 Mort_exécuté 	783074 Executats 	1735856 معدومون 	297071 Heriotza_zigorraz_hildakoak 	198457 Εκτελεσθέντες 	64030 Persoane_executate 	18342 Mòrt_executat 
